Date,Home,Away
2018-09-30,Rockies,Nationals
2018-08-07,Rangers,Mariners
2018-09-05,Brewers,Cubs
2018-04-26,Cardinals,Mets
2018-06-13,Mariners,Angels
2018-08-02,Phillies,Marlins
2018-07-22,Blue Jays,Orioles
2018-06-24,Rockies,Marlins
2018-04-03,Diamondbacks,Dodgers
2018-08-05,Brewers,Rockies
2018-07-22,Mariners,White Sox
2018-04-18,Mariners,Astros
2018-08-19,Cardinals,Brewers
2018-09-24,Blue Jays,Astros
2018-04-17,Mets,Nationals
2018-08-15,Orioles,Mets
2018-06-06,Padres,Braves
2018-07-09,Indians,Reds
2018-09-12,Red Sox,Blue Jays
2018-06-02,Royals,Athletics
2018-07-08,Astros,White Sox
2018-07-07,Blue Jays,Yankees
2018-09-23,Indians,Red Sox
2018-07-07,Diamondbacks,Padres
2018-04-08,Cardinals,Diamondbacks
2018-04-28,Astros,Athletics
2018-04-03,Giants,Mariners
2018-06-15,Pirates,Reds
2018-09-27,Twins,Tigers
2018-04-13,Tigers,Yankees
2018-09-08,Rays,Orioles
2018-06-19,Royals,Rangers
2018-05-29,Orioles,Nationals
2018-09-01,Braves,Pirates
2018-07-09,Orioles,Yankees
2018-08-08,Indians,Twins
2018-09-05,Nationals,Cardinals
2018-05-23,Rangers,Yankees
2018-08-28,Reds,Brewers
2018-05-02,Red Sox,Royals
2018-09-17,Brewers,Reds
2018-09-26,Mets,Braves
2018-09-12,Rays,Indians
2018-07-25,Mariners,Giants
2018-08-22,Mariners,Astros
2018-05-19,Giants,Rockies
2018-04-25,Rangers,Athletics
2018-09-23,Cardinals,Giants
2018-07-11,Twins,Royals
2018-09-11,Orioles,Athletics
2018-05-29,Tigers,Angels
2018-04-08,Indians,Royals
2018-03-29,Rays,Red Sox
2018-06-17,Braves,Padres
2018-09-19,Athletics,Angels
2018-07-28,Red Sox,Twins
2018-04-07,Red Sox,Rays
2018-04-07,Brewers,Cubs
2018-04-23,Yankees,Twins
2018-04-18,Diamondbacks,Giants
2018-09-23,Braves,Phillies
2018-05-24,Athletics,Mariners
2018-05-22,Cardinals,Royals
2018-05-24,Dodgers,Rockies
2018-08-21,Tigers,Cubs
2018-05-28,Padres,Marlins
2018-08-15,Athletics,Mariners
2018-06-21,Rockies,Mets
2018-06-17,Diamondbacks,Mets
2018-07-25,Mets,Padres
2018-06-03,Angels,Rangers
2018-08-25,Tigers,White Sox
2018-06-27,Brewers,Royals
2018-08-14,Tigers,White Sox
2018-04-14,Royals,Angels
2018-07-03,Rockies,Giants
2018-09-15,Indians,Tigers
2018-06-06,Angels,Royals
2018-04-09,Orioles,Blue Jays
2018-07-21,Cubs,Cardinals
2018-07-14,Cardinals,Reds
2018-09-28,Reds,Pirates
2018-08-28,Astros,Athletics
2018-05-27,Rockies,Reds
2018-08-18,Pirates,Cubs
2018-05-08,Reds,Mets
2018-04-21,Rockies,Cubs
2018-08-28,Giants,Diamondbacks
2018-07-12,Padres,Dodgers
2018-05-10,Orioles,Royals
2018-09-09,Rays,Orioles
2018-09-20,Braves,Phillies
2018-08-29,Indians,Twins
2018-08-17,Royals,Blue Jays
2018-09-29,Orioles,Astros
2018-09-01,Giants,Mets
2018-08-18,Twins,Tigers
2018-08-19,Rangers,Angels
2018-04-04,Astros,Orioles
2018-07-08,Cubs,Reds
2018-09-02,Indians,Rays
2018-06-23,Astros,Royals
2018-07-04,Brewers,Twins
2018-07-02,Yankees,Braves
2018-09-25,Reds,Royals
2018-07-13,Mets,Nationals
2018-05-16,Pirates,White Sox
2018-04-11,Phillies,Reds
2018-08-20,Pirates,Braves
2018-08-03,Mets,Braves
2018-04-24,Dodgers,Marlins
2018-05-11,Dodgers,Reds
2018-08-29,Rangers,Dodgers
2018-05-19,Braves,Marlins
2018-05-06,Braves,Giants
2018-07-01,Phillies,Nationals
2018-05-23,Cardinals,Royals
2018-09-23,Yankees,Orioles
2018-05-02,Indians,Rangers
2018-04-07,Astros,Padres
2018-09-09,Mets,Phillies
2018-05-19,Cardinals,Phillies
2018-09-20,Dodgers,Rockies
2018-08-22,Mariners,Astros
2018-09-11,Mets,Marlins
2018-08-15,Yankees,Rays
2018-06-11,Rays,Blue Jays
2018-07-10,Orioles,Yankees
2018-09-01,Dodgers,Diamondbacks
2018-05-12,Diamondbacks,Nationals
2018-04-21,Dodgers,Nationals
2018-05-20,Angels,Rays
2018-05-04,Nationals,Phillies
2018-08-18,Twins,Tigers
2018-08-22,Dodgers,Cardinals
2018-08-15,Athletics,Mariners
2018-04-05,Athletics,Rangers
2018-04-27,Nationals,Diamondbacks
2018-07-13,Marlins,Phillies
2018-08-03,Rangers,Orioles
2018-08-05,Dodgers,Astros
2018-09-17,Phillies,Mets
2018-04-29,Royals,White Sox
2018-06-23,Mets,Dodgers
2018-05-19,Blue Jays,Athletics
2018-04-26,Royals,Brewers
2018-05-13,Marlins,Braves
2018-06-24,Indians,Tigers
2018-04-19,Tigers,Orioles
2018-05-23,Reds,Pirates
2018-06-03,Braves,Nationals
2018-06-05,Angels,Royals
2018-05-06,Padres,Dodgers
2018-08-04,Mets,Braves
2018-08-15,Braves,Marlins
2018-04-11,Cardinals,Brewers
2018-05-01,Diamondbacks,Dodgers
2018-10-01,Cubs,Brewers
2018-05-16,Mariners,Rangers
